References	Qty	Description	Part Number	Digikey	Mouser	RS	Newark	Farnell
C1, C2,	2		TE Connectivity / Raychem 202D132-25/86-0	202D132-25/86-0-CS8392-ND	202D13225/860		01M8216	1190107
C3,	1		Multicomp MC1206B104K160CT					1759297
C4,	1		Multicomp MC1206F105Z160CT				06R4361	1759438
D1,	1		Kingbright KP-3216SURCK			8610065	66W1937	2290335
P1,	1							
P2,	1		Harwin M20-9993645	952-2272-ND	M209993645	5473150	56K0278	1022263
R1, R4, R5, R6,	4		Panasonic ERJ-8GEYJ103V	P10KECT-ND	ERJ8GEYJ103V	434888	65T8895	2057856
R3,	1		Multicomp MC0125W1206168R				94W3013	9336800
SW1,	1		Würth Elektronik 434111025826	732-7039-1-ND		7856406	31T8972	1867992
U1,	1		STMicroelectronics LD1117S33TR	497-1242-1-ND	LD1117S33TR	7140697	89K0627	1202826
esp8266,	1							
